Group	Ratio	Value	STDEV
>5000	0.005	0.00494273878031	0.000497310960298
>5000	0.01	0.0100126668925	0.000691524196937
>5000	0.05	0.0502100953835	0.00127614011477
>5000	0.1	0.0996175232736	0.0017089190348
>5000	0.2	0.200440281284	0.00222151202855
>5000	0.3	0.299827793277	0.00279197970452
>5000	0.4	0.399810322514	0.00352906422544
>5000	0.5	0.500421778546	0.00278911866016
10	0.005	0.00467351582818	0.0402380682286
10	0.01	0.0101777867456	0.0557252351908
10	0.05	0.0503801228589	0.119240857376
10	0.1	0.101813906825	0.163057379061
10	0.2	0.20503643171	0.215792227289
10	0.3	0.307353152184	0.252359103645
10	0.4	0.403418751681	0.266177849405
10	0.5	0.498029492871	0.273714899601
5000	0.005	0.0048669815741	0.00103164342778
5000	0.01	0.00991886358119	0.00144539882804
5000	0.05	0.0496508295977	0.00327046171799
5000	0.1	0.100184287714	0.0043733107835
5000	0.2	0.200204348288	0.0053161086745
5000	0.3	0.299325371944	0.00689474001076
5000	0.4	0.399535143831	0.00679193672719
5000	0.5	0.500072209037	0.00603073746114
20	0.005	0.00301630933558	0.00795216861814
20	0.01	0.0111065116315	0.0172840378645
20	0.05	0.044187027918	0.034087330299
20	0.1	0.102846654881	0.0496677989499
20	0.2	0.208794054455	0.0677571520816
20	0.3	0.282956746	0.0749910174255
20	0.4	0.391033824899	0.0878529223696
20	0.5	0.496019900919	0.0751088111754
50	0.005	0.00433501954245	0.00691339309137
50	0.01	0.0110675305021	0.00927523326468
50	0.05	0.0477410427029	0.0230613619851
50	0.1	0.0965048535389	0.0317586343124
50	0.2	0.192557804148	0.0342263651163
50	0.3	0.300453933419	0.0439766722511
50	0.4	0.412308858034	0.0481404878675
50	0.5	0.503555471491	0.0568859492257
100	0.005	0.00532299251147	0.00554079619078
100	0.01	0.00984739900818	0.00814416110852
100	0.05	0.0512427218168	0.0155576823332
100	0.1	0.0974482618191	0.0141042396221
100	0.2	0.192511406285	0.0246238708888
100	0.3	0.296283480849	0.034728964193
100	0.4	0.410992911398	0.0328795384243
100	0.5	0.508616987618	0.0433281181115
500	0.005	0.00465965907287	0.00269675010334
500	0.01	0.009493043439	0.00343542261806
500	0.05	0.0510797304886	0.00812415294085
500	0.1	0.100428038778	0.0119894354693
500	0.2	0.19831633251	0.0160613208812
500	0.3	0.300238951203	0.01819553183
500	0.4	0.39878411397	0.0177089398146
500	0.5	0.50091627333	0.0188505206787
1000	0.005	0.00505564205797	0.00151704098367
1000	0.01	0.00988333086699	0.00225817744639
1000	0.05	0.0495950460508	0.00448544692202
1000	0.1	0.10000745485	0.00587728086689
1000	0.2	0.20094377935	0.00826837009185
1000	0.3	0.299206416285	0.00948587389267
1000	0.4	0.399519860524	0.0106308226729
1000	0.5	0.499862821634	0.0107303567341
